"Cliente.x","Rut","Folio","Emisión","Vencimiento","Neto","Impuestos","Total","Monto Pagado","Notas de credito","Notas de debito","Monto Por Pagar","Moneda","Tipo","Estado","Cesión de documento","Fecha de Cesión","Factoring","Compromiso de pago","Fecha proyectada de pago","Pago","Dias de vencida","Extrajudicial","XML","División","Orden de compra","Etiquetas","Nota","Glosa","Id Externo Cliente","Plazo de pago","FechaPago","Dias_Mora","Cliente.y","Giro","Comuna","Dirección","Ciudad","Unidad","Precio Base","CRUT","MRUT","PCRUT","PMRUT","CCRN","CMRN","PCCRN","PCMRN"
"HY",233,6082,2026-01-02,2026-02-01,196294,37296,233590,0,0,0,233590,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 4,94. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 196294 MontoItem: 196294",NA,30,NA,0,"HY","FABRICACION DE PRODUCTOS DE PLASTICO","Conchali.","Av. Pdte. Eduardo Frei Montalva 3899","SANTIAGO","UF","4.9400000000000004",10,30,0.0897,"0.1346",0,0,0,"0"
"HX",232,6081,2026-01-02,2026-02-01,84120,15983,100103,0,0,0,100103,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,117. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 84120 MontoItem: 84120",NA,30,NA,0,"HX","ACTIVIDADES DE CONSULTORIA DE GESTION","Rancagua","AV.Membrillar 230 OF 102.","Rancagua","UF","3.86",40,0,0.0966,"0",0,0,0,"0"
"HW",231,6080,2026-01-02,2026-02-01,67312,12789,80101,0,0,0,80101,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,694. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 67312 MontoItem: 67312",NA,30,NA,0,"HW","ACTIVIDADES DE PROGRAMACION INFORMATICA","LAS CONDES","Badajoz 100, oficina 1014","SANTIAGO","UF","2.89",101,0,0.0286,"0",0,0,0,"0"
"HV",230,6079,2026-01-02,2026-02-01,263050,49980,313030,0,0,0,313030,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 6,62. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 263050 MontoItem: 263050",NA,30,NA,0,"HV","OTRAS ACTIVIDADES AUXILIARES DE LAS ACTI","LAS CONDES","Av. Presidente Riesco 5335, oficina 604","SANTIAGO","UF","6.62",41,20,0.0932,"0.13969999999999999",0,0,0,"0"
"HU",229,6078,2026-01-02,2026-02-01,802163,152411,954574,0,0,0,954574,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 23,75. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 943721 MontoItem: 802163 DescuentoPct: 15 DescuentoMonto: 141558",NA,30,NA,0,"HU","OTRAS ACTIVIDADES DE SERVICIOS FINANCIER","Vitacura.","Alonso de Cordova N° 4125","SANTIAGO","UF","23.75",500,0,0.0475,"0",0,0,0,"0"
"HT",228,6077,2026-01-02,2026-02-01,214970,40844,255814,0,0,0,255814,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 5,41. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 214970 MontoItem: 214970",NA,30,NA,0,"HT","LEASING FINANCIERO","Quilicura.","Av. presidente Eduardo Frei Montalva 9990","SANTIAGO","UF","5.41",151,51,0.0238,"3.5700000000000003E-2",0,0,0,"0"
"HS",227,6076,2026-01-02,2026-02-01,69140,13137,82277,0,0,0,82277,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,74. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 69140 MontoItem: 69140",NA,30,NA,0,"HS","EXPLOTACION DE FRIGORIFICOS PARA ALMACEN","Rancagua","Ruta Travesía ex 5 Sur 04000","Rancagua","UF","1.74",20,5,0.0634,"9.5200000000000007E-2",0,0,0,"0"
"HR",226,6075,2026-01-02,2026-02-01,61193,11627,72820,0,0,0,72820,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,54. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 61193 MontoItem: 61193",NA,30,NA,0,"HR","VENTA AL POR MENOR EN COMERCIOS ESPECIAL","Independencia","grumete bustos 558.","SANTIAGO","UF","1.54",10,5,0.0795,"0.1193",10,5,0.0084,"1.26E-2"
"HQ",225,6074,2026-01-02,2026-02-01,81061,15402,96463,0,0,0,96463,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,04. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 81061 MontoItem: 81061",NA,30,NA,0,"HQ","SERVICIOS DE SEGURIDAD PRIVADA PRESTADOS","SANTIAGO","Bandera 236","SANTIAGO","UF","2.04",20,0,0.1022,"0",0,0,0,"0"
"HP",224,6073,2026-01-02,2026-02-01,198281,37673,235954,0,0,0,235954,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 4,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 198281 MontoItem: 198281",NA,30,NA,0,"HP","VENTA AL POR MAYOR DE HUEVOS, LACTEOS, A","SANTIAGO","Andes 2318","SANTIAGO","UF","4.99",101,20,0.0381,"5.7099999999999998E-2",0,0,0,"0"
"HO",223,6072,2026-01-02,2026-02-01,79074,15024,94098,0,0,0,94098,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 79074 MontoItem: 79074",NA,30,NA,0,"HO","FABRICACION DE MAQUINARIA PARA LA EXPLOT","Colina","GENERAL SAN MARTIN 8400","SANTIAGO","UF","1.99",10,5,0.1136,"0.1704",0,0,0,"0"
"HN",222,6071,2026-01-02,2026-02-01,82730,15719,98449,0,0,0,98449,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,082. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 82730 MontoItem: 82730",NA,30,NA,0,"HN","REPARACION DE EQUIPO ELECTRICO","Lampa","AV. LA VILANA 18501, B-39","Santiago","UF","2",20,3,0.0818,"0.1227",0,0,0,"0"
"HM",221,6070,2026-01-02,2026-02-01,177221,33672,210893,0,0,0,210893,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 4,46. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 177221 MontoItem: 177221",NA,30,NA,0,"HM","ACTIVIDADES COMBINADAS DE SERVICIOS ADM","RENGO.","FUNDO LAS PATAGUAS LOTE B S/N","RENGO.","UF","4.46",30,10,0.099,"0.14849999999999999",0,0,0,"0"
"HL",220,6068,2026-01-02,2026-02-01,87418,16609,104027,0,0,0,104027,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,2. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 87418 MontoItem: 87418",NA,30,NA,0,"HL","OTRAS ACTIVIDADES DE SERVICIOS PERSONAL","PROVIDENCIA.","Av. Los Conquistadores 1700, piso 9.","Santiago","UF","2.2000000000000002",10,5,0.1136,"0.1704",10,5,0.012,"1.7999999999999999E-2"
"HK",219,6067,2026-01-02,2026-02-01,45299,8607,53906,0,0,0,53906,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,14. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 45299 MontoItem: 45299",NA,30,NA,0,"HK","OTRAS ACTIVIDADES DE SERVICIOS PERSONAL","PROVIDENCIA.","HERNANDO DE AGUIRRE 128, OF 904","Santiago","UF","1.1399999999999999",10,0,0.1136,"0",0,0,0,"0"
"HJ",218,6066,2026-01-02,2026-02-01,79074,15024,94098,94098,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","07/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 79074 MontoItem: 79074",NA,30,2026-01-07,0,"HJ","VENTA AL POR MAYOR DE COMPUTADORES","Santiago","SAN DIEGO 1069","Santiago","UF","1,99",10,5,0.1136,"0.1704",0,0,0,"0"
"HI",217,6065,2026-01-02,2026-02-01,83445,15855,99300,0,0,0,99300,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,1. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 83445 MontoItem: 83445",NA,30,NA,0,"HI","ALQUILER DE EQUIPOS DE TRANSPOR","San Joaquín.","Santa Rosa 5220","Santiago","UF","2.1",25,0,0.0839,"0",0,0,0,"0"
"HH",216,6064,2026-01-02,2026-02-01,119207,22649,141856,141856,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","07/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 3. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 119207 MontoItem: 119207",NA,30,2026-01-07,0,"HH","OTRAS ACTIVIDADES DE SERVICIOS DE","Las Condes","La Capitania 70, Of 07, sb 01.","Santiago","UF","3",50,0,0.0599,"0",0,0,0,"0"
"HF",214,6061,2026-01-02,2026-02-01,665890,126519,792409,0,0,0,792409,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 16,758. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 665890 MontoItem: 665890",NA,30,NA,0,"HF","VENTA AL POR MAYOR DE HUEVOS, LACTEOS,","coquimbo.","Ruta D43 #3900","coquimbo.","UF","6.25",40,10,0.1136,"0.1704",50,50,0,"0"
"HD",212,6059,2026-01-02,2026-02-01,87418,16609,104027,0,0,0,104027,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,2. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 87418 MontoItem: 87418",NA,30,NA,0,"HD","OTRAS ACTIVIDADES DE SERVICIOS DE AP","Santiago","Victoria 480","Santiago","UF","2.2000000000000002",10,10,0.088,"0.1321",0,0,0,"0"
"HC",211,6057,2026-01-02,2026-02-01,225698,42883,268581,268581,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","20/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 5,68. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 225698 MontoItem: 225698",NA,30,2026-01-20,0,"HC","SERVICIOS DE ASESORAMIENTO Y REPRESENTAC","Las Condes","CERRO EL PLOMO 5420 OF. 503.","SANTIAGO","UF","5.68",50,0,0.1136,"0",0,0,0,"0"
"HB",210,6056,2026-01-02,2026-02-01,79074,15024,94098,94098,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","07/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 79074 MontoItem: 79074",NA,30,2026-01-07,0,"HB","SERVICIOS DE ASESORAMIENTO Y REPRESENTAC","Las Condes","Paraná 8431","SANTIAGO","UF","1.99",30,0,0.0664,"0",0,0,0,"0"
"HA",209,6055,2026-01-02,2026-02-01,172850,32842,205692,0,0,0,205692,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 4,35. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 172850 MontoItem: 172850",NA,30,NA,0,"HA","ACTIVIDADES DE CONSULTORIA DE INFORMATIC","Vitacura","San Patricio 4298, Oficina 11.","SANTIAGO","UF","4.3499999999999996",500,0,0.0087,"0",0,0,0,"0"
"GZ",208,6054,2026-01-02,2026-02-01,79074,15024,94098,94098,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","16/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 79074 MontoItem: 79074",NA,30,2026-01-16,0,"GZ","ACTIVIDADES DE AGENCIAS DE COBRO","LAS CONDES","ALONSO DE CORDOVA 5870 OF 413","SANTIAGO","UF","1.99",10,5,0.1136,"0.1704",0,0,0,"0"
"GY",207,6053,2026-01-02,2026-02-01,97352,18497,115849,115849,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","20/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,45. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 97352 MontoItem: 97352",NA,30,2026-01-20,0,"GY","ACTIVIDADES DE PROGRAMACION INFORMATICA","LAS CONDES","BOCACCIO 440, LAS CONDES.","SANTIAGO","UF","2.4500000000000002",50,50,0.0166,"2.4899999999999999E-2",50,50,0.003,"O,OO45"
"GX",206,6051,2026-01-02,2026-02-01,79074,15024,94098,94098,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","13/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 79074 MontoItem: 79074",NA,30,2026-01-13,0,"GX","FABRICACION DE MUEBLES PRINCIPALMENTE DE","BUIN","LOS MORROS A PIRQUE 670, BUIN","SANTIAGO","UF","1.99",10,5,0.1136,"0.1704",0,0,0,"0"
"GW",205,6050,2026-01-02,2026-02-01,363819,69126,432945,432945,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/02/2026","07/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 9,156. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 363819 MontoItem: 363819",NA,30,2026-01-07,0,"GW","OTRAS ACTIVIDADES DE SERVICIOS PERSONALE","PROVIDENCIA","BELLOTAS 199, OF 62","SANTIAGO","UF","2.76",51,0,0.0542,"0",0,0,0,"0"
"GV",204,6049,2026-01-02,2026-02-01,92624,17599,110223,0,0,0,110223,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"20/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,331. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 92624 MontoItem: 92624",NA,30,NA,0,"GV","EXTRACCION DE MADERA","MAULE","RUTA 5 SUR, KM 266 MAULE.","MAULE","UF","1.99",10,5,0.1136,"0.1704",0,0,0,"0"
"GU",203,6048,2026-01-02,2026-02-01,1021603,194105,1215708,0,0,0,1215708,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"02/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 25,71. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 1021603 MontoItem: 1021603",NA,30,NA,0,"GU","AVENTA AL POR MAYOR DE OTROS TIPOS DE MA","RENCA","AVENIDA EL RETIRO N°1270, COMUNA DE RENCA.","SANTIAGO","UF","25.71",201,101,0.0654,"9.8199999999999996E-2",0,0,0,"0"
"GT",202,6047,2026-01-02,2026-02-01,68004,12921,80925,0,0,0,80925,"CLP","Factura Afecta","Por vencer",NA,NA,NA,NA,"12/02/2026",NA,NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Diciembre 2025 _UF 2,8. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 111260 MontoItem: 68004 DescuentoMonto: 43256",NA,30,NA,0,"GT","ACTIVIDADES DE CONSULTORIA DE GESTION","PROVIDENCIA","AV PROVIDENCIA 2237 OF 65 PROVIDENCIA.","SANTIAGO","UF","2.8",200,0,0.014,"0",0,0,0,"0"
